CandidateName,$10 or less,$11-50,$51-100,$101-200,$201-500,"$501-2,799","$2,800 +",Total
"Biden, Joe",160175,239970,83270,48241,41771,20528,8492,602447
"Booker, Cory",103761,93044,24398,11125,9496,4492,2338,248654
"Buttigieg, Pete",269047,356070,116905,62176,51650,24708,6123,886679
"Gabbard, Tulsi",110620,74932,19751,9588,6691,2443,318,224343
"Harris, Kamala",128711,156720,45796,22012,19329,8803,2653,384024
"Inslee, Jay",68309,39191,8748,3197,2806,988,415,123654
"Klobuchar, Amy",84986,184692,71929,33105,27966,11528,2412,416618
"O'Rourke, Beto",74571,104242,27498,12348,9165,3681,901,232406
"Patrick, Deval",1057,2701,1128,271,673,455,520,6805
"Sanders, Bernie",638587,781113,281469,156648,114241,44963,3509,2020530
"Steyer, Tom",196758,34908,4595,1399,735,238,171,238804
"Warren, Elizabeth",335497,500537,175631,98330,73509,25673,1929,1211106
"Williamson, Marianne",72411,43680,11986,6650,4518,1753,181,141179
"Yang, Andrew",160138,153618,42868,24407,19967,10225,1391,412614
