CandidateName,1x,2x,3x,4-9x,>10x,Total
"Biden, Joe",336533,93499,45486,91512,33895,600925
"Booker, Cory",158382,41323,17232,26388,5012,248337
"Buttigieg, Pete",517677,142075,64605,119158,41064,884579
"Gabbard, Tulsi",150658,31282,13357,22320,6605,224222
"Harris, Kamala",236394,58616,25420,49277,14076,383783
"Inslee, Jay",93381,16267,5766,7594,637,123645
"Klobuchar, Amy",256059,70886,31145,47615,10685,416390
"O'Rourke, Beto",152094,35681,13957,25292,5213,232237
"Patrick, Deval",5640,707,249,196,9,6801
"Sanders, Bernie",994636,319584,162761,352088,180793,2009862
"Steyer, Tom",194176,25846,8073,9785,917,238797
"Warren, Elizabeth",632287,205992,99272,204979,67550,1210080
"Williamson, Marianne",96076,19513,8132,14002,3409,141132
"Yang, Andrew",250744,60199,27479,53574,19981,411977
