CAND_NAME,CONTRIBUTOR_STATE,NUM_CANDIDATES_CONTRIBUTED,TOTAL_AMT_CONTRIBUTED,TOTAL_NUM_CONTRIBUTIONS
"Biden, Joe",--,1,100,1
"Biden, Joe",AA,1,1599,30
"Biden, Joe",AA,2,1155,5
"Biden, Joe",AA,3,110,2
"Biden, Joe",AA,7,30,1
"Biden, Joe",AA,9,69,1
"Biden, Joe",AB,1,671,9
"Biden, Joe",AE,1,10674.53,104
"Biden, Joe",AE,2,4338,29
"Biden, Joe",AE,3,788,13
"Biden, Joe",AE,4,70,4
"Biden, Joe",AE,5,235,3
"Biden, Joe",AE,7,155,2
"Biden, Joe",AK,1,55990.96,552
"Biden, Joe",AK,2,23806.03,210
"Biden, Joe",AK,3,9782.45,91
"Biden, Joe",AK,4,5429,43
"Biden, Joe",AK,5,4773.1,27
"Biden, Joe",AK,6,3850.5,18
"Biden, Joe",AK,7,902.5,6
"Biden, Joe",AK,9,33,1
"Biden, Joe",AL,1,325136.85,3405
"Biden, Joe",AL,2,82922.18,769
"Biden, Joe",AL,3,34081.23,281
"Biden, Joe",AL,4,10446.1,113
"Biden, Joe",AL,5,4016.3,61
"Biden, Joe",AL,6,4554.49,31
"Biden, Joe",AL,7,3064.13,25
"Biden, Joe",AL,8,412,5
"Biden, Joe",AL,9,90,2
"Biden, Joe",AL,10,347,5
"Biden, Joe",AP,1,4879,58
"Biden, Joe",AP,2,904,10
"Biden, Joe",AP,3,1065,6
"Biden, Joe",AP,4,122,2
"Biden, Joe",AP,5,25,1
"Biden, Joe",AP,6,10.1,1
"Biden, Joe",AR,1,147149.45,1873
"Biden, Joe",AR,2,61964,510
"Biden, Joe",AR,3,20266.06,206
"Biden, Joe",AR,4,8398.81,104
"Biden, Joe",AR,5,6588.5,62
"Biden, Joe",AR,6,2252.8,26
"Biden, Joe",AR,7,415,12
"Biden, Joe",AR,8,653.99,3
"Biden, Joe",AR,9,37,2
"Biden, Joe",AS,1,195,6
"Biden, Joe",AS,2,100,1
"Biden, Joe",AS,4,95,2
"Biden, Joe",AZ,1,580816.58,7161
"Biden, Joe",AZ,2,193682.28,2273
"Biden, Joe",AZ,3,93868.5,991
"Biden, Joe",AZ,4,42232.62,504
"Biden, Joe",AZ,5,29302.31,237
"Biden, Joe",AZ,6,20316.99,123
"Biden, Joe",AZ,7,2912,62
"Biden, Joe",AZ,8,4924,43
"Biden, Joe",AZ,9,1311,15
"Biden, Joe",AZ,10,1676,6
"Biden, Joe",AZ,12,61.1,1
"Biden, Joe",AZ,13,64.53,1
"Biden, Joe",BC,1,3695,29
"Biden, Joe",BC,2,450,3
"Biden, Joe",BC,3,18,1
"Biden, Joe",BC,4,65,3
"Biden, Joe",BC,5,1350,1
"Biden, Joe",CA,1,8516744.75,50464
"Biden, Joe",CA,2,2787019.05,17905
"Biden, Joe",CA,3,1392830.63,8467
"Biden, Joe",CA,4,694953.11,4407
"Biden, Joe",CA,5,352293.46,2286
"Biden, Joe",CA,6,179303.93,1188
"Biden, Joe",CA,7,86883.83,582
"Biden, Joe",CA,8,46506.51,283
"Biden, Joe",CA,9,17392.25,117
"Biden, Joe",CA,10,15298.5,50
"Biden, Joe",CA,11,1568,18
"Biden, Joe",CA,12,130,6
"Biden, Joe",CA,13,193.09,4
"Biden, Joe",CA,14,25,1
"Biden, Joe",CO,1,980126.47,7511
"Biden, Joe",CO,2,289848.15,2484
"Biden, Joe",CO,3,141077.47,1152
"Biden, Joe",CO,4,76226.72,590
"Biden, Joe",CO,5,31866.83,303
"Biden, Joe",CO,6,22154.2,140
"Biden, Joe",CO,7,9722.05,65
"Biden, Joe",CO,8,4913.51,30
"Biden, Joe",CO,9,792,13
"Biden, Joe",CO,10,58,5
"Biden, Joe",CO,11,17.7,2
"Biden, Joe",CO,12,13,1
"Biden, Joe",CO,13,224,1
"Biden, Joe",CT,1,1074172.12,6403
"Biden, Joe",CT,2,303381.12,1944
"Biden, Joe",CT,3,141309.69,824
"Biden, Joe",CT,4,51646.62,432
"Biden, Joe",CT,5,37349.31,205
"Biden, Joe",CT,6,19824.329999999998,115
"Biden, Joe",CT,7,13883.1,70
"Biden, Joe",CT,8,1936.03,19
"Biden, Joe",CT,9,466,6
"Biden, Joe",CT,10,70,3
"Biden, Joe",CT,11,59.5,3
"Biden, Joe",CT,13,1,1
"Biden, Joe",DC,1,1241759.99,3571
"Biden, Joe",DC,2,398951.57,1329
"Biden, Joe",DC,3,173654.58,590
"Biden, Joe",DC,4,78169.48,298
"Biden, Joe",DC,5,47355.81,171
"Biden, Joe",DC,6,17560.75,67
"Biden, Joe",DC,7,11323.5,33
"Biden, Joe",DC,8,709,14
"Biden, Joe",DC,9,3.5,2
"Biden, Joe",DC,10,120.5,3
"Biden, Joe",DC,11,5,1
"Biden, Joe",DC,14,2,1
"Biden, Joe",DE,1,1312626.89,6487
"Biden, Joe",DE,2,129375.01,911
"Biden, Joe",DE,3,50799.29,306
"Biden, Joe",DE,4,20303.73,131
